External Library Name, Link to License, License Name, Binaries using the license, URL
picosha2, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/picosha2/LICENSE, MIT, ./qemu/windows-x86_64/qemu-system-armel.exe android-emu-metrics.dll ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe gfxstream_backend.dll emugl_common.dll ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./nimble_bridge.exe android-emu-shared.dll ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-check.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/picosha2/
vulkan-sdk, https://vulkan.lunarg.com/software/license/vulkan-1.3.290.0-linux-license-summary.txt, Apache-2.0, lib64/vulkan/vulkan-1.dll lib64/vulkan/vk_swiftshader.dll ./emulator.exe, https://vulkan.lunarg.com/sdk/home
angle, https://chromium.googlesource.com/angle/angle/LICENSE, BSD-3-Clause, lib64/libshadertranslator.dll ./emulator.exe gfxstream_backend.dll, https://chromium.googlesource.com/angle/angle
ffmpeg, https://github.com/FFmpeg/FFmpeg/blob/master/LICENSE.md, GPL-2.0-or-later, ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe gfxstream_backend.dll emugl_common.dll ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./nimble_bridge.exe android-emu-shared.dll ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-check.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/ffmpeg-3.4.5.tar.xz
glib-2.0, https://android.googlesource.com/platform/external/bluetooth/glib/+/refs/heads/emu-master-dev/COPYING, LGPL-2.1-only, ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe gfxstream_backend.dll emugl_common.dll ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./nimble_bridge.exe android-emu-shared.dll ./qemu/windows-x86_64/qemu-system-i386.exe glib2_windows_msvc-x86_64.dll ./emulator-check.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://android.googlesource.com/platform/external/bluetooth/glib/+/refs/heads/emu-master-dev/
libcurl, https://android.googlesource.com/platform/external/curl/+/refs/heads/emu-master-dev/NOTICE, curl, ./qemu/windows-x86_64/qemu-system-armel.exe android-emu-curl.dll android-emu-metrics.dll ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe gfxstream_backend.dll ./emulator.exe ./nimble_bridge.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe emugl_common.dll android-emu-shared.dll ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-check.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://android.googlesource.com/platform/external/curl/+/refs/heads/emu-master-dev
c-ares, https://android.googlesource.com/platform/external/c-ares/+/refs/heads/emu-master-dev/LICENSE.md, MIT, ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe gfxstream_backend.dll emugl_common.dll ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./nimble_bridge.exe android-emu-shared.dll ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-check.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://android.googlesource.com/platform/external/c-ares/+/refs/heads/emu-master-dev
e2fs, http://www.linfo.org/e2fsprogs.html, GPL-2.0-only, bin64/resize2fs.exe bin64/cygwin1.dll bin64/cyggcc_s-1.dll bin64/cygcom_err-2.dll bin64/cyguuid-1.dll bin64/tune2fs.exe ./emulator.exe bin64/cygiconv-2.dll bin64/cygext2fs-2.dll bin64/cygintl-8.dll bin64/cyge2p-2.dll bin64/cygblkid-1.dll bin64/e2fsck.exe, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/e2fsprogs-1.42.13-patches.tar.xz
swiftshader, https://android.googlesource.com/platform/external/swiftshader/+/refs/heads/emu-master-dev/LICENSE.txt, Apache-2.0, lib64/gles_swiftshader/libEGL.dll ./emulator.exe lib64/gles_swiftshader/libGLES_CM.dll lib64/gles_swiftshader/libGLESv2.dll, https://android.googlesource.com/platform/external/swiftshader/+/refs/heads/emu-master-dev
pixman-1, https://gitlab.freedesktop.org/pixman/pixman/blob/master/COPYING, MIT, ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-check.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/pixman-0.34.0.tar.gz
